"County","State","Population.Population Percent Change","Population.2020 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Education.High School or Higher","Education.Bachelor's Degree or Higher","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Prentiss County","MS","0.6","25428","25276","6.4","22.9","17","50.8","84.2","14.2","0.3","0.2","0","1.2","1.3","83.2","1133","0.2","11074","72.8","73200","9611","2.53","-1","-1","72.7","11.4","-1","-1","-1","-1","32503","-1","-1","-1","-1","-1","-1","-1","-1","-1","60.9","335.74"
"Quitman County","MS","-6.6","7678","8223","6.8","24.9","15","52.1","29","69.1","0.2","0.3","0","1.3","1","28.4","483","1","3595","68.6","49200","3114","2.53","-1","-1","68","13.7","-1","-1","-1","-1","22863","-1","-1","-1","-1","-1","-1","-1","-1","-1","20.3","229.61"
"Rankin County","MS","4.2","148070","141617","6.3","24.3","13.3","51.7","77.2","20.2","0.2","1.2","0.1","1.1","2.6","75","9765","2.4","58210","75.5","148900","53223","2.6","-1","-1","88.9","28.5","-1","-1","-1","-1","57380","-1","-1","-1","-1","-1","-1","-1","-1","-1","182.6","712.35"
"Scott County","MS","0.7","28461","28264","7.6","26.6","13.7","51.2","59","38.1","0.7","0.5","0.5","1.2","10.7","50.5","1264","7.1","11481","75.7","68600","9692","2.88","-1","-1","72.3","9.6","-1","-1","-1","-1","34534","-1","-1","-1","-1","-1","-1","-1","-1","-1","46.4","914.94"
"Sharkey County","MS","-5.5","4647","4916","7.1","25.4","16.1","53.8","29.2","69.6","0.2","0.3","0","0.8","1.7","28.1","294","0.2","2122","64.4","64900","1725","2.75","-1","-1","77.3","21.1","-1","-1","-1","-1","35125","-1","-1","-1","-1","-1","-1","-1","-1","-1","11.4","10.96"
"Simpson County","MS","-0.1","27463","27503","6.4","25.3","15.6","51.3","62.6","35.7","0.3","0.4","0.1","0.9","1.6","61.5","1709","1.5","11934","76","80800","9786","2.72","-1","-1","78.3","14.7","-1","-1","-1","-1","38362","-1","-1","-1","-1","-1","-1","-1","-1","-1","46.7","539.24"
"Smith County","MS","-1.8","16188","16491","6.2","24.4","17.2","51.9","75.5","23.6","0.2","0.1","0","0.7","1.5","74.3","948","0.6","7244","83.3","77600","6269","2.6","-1","-1","80.8","13.2","-1","-1","-1","-1","34753","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.9","240.13"
"Stone County","MS","0.5","17875","17786","5.5","22.4","14.3","50.1","78.2","19.8","0.5","0.3","0","1.1","1.7","76.8","1520","0.9","7238","82.6","107000","5871","2.88","-1","-1","84.5","13.6","-1","-1","-1","-1","42963","-1","-1","-1","-1","-1","-1","-1","-1","-1","39.9","495.07"
"Sunflower County","MS","-6.6","27496","29450","6.3","23.3","11.6","47.2","25.8","73","0.3","0.4","0","0.6","1.5","25","1321","0.7","9698","58.6","69500","8394","2.92","-1","-1","70.2","13","-1","-1","-1","-1","26619","-1","-1","-1","-1","-1","-1","-1","-1","-1","42.2","928.8"
"Tallahatchie County","MS","-4","14761","15378","5.4","20.4","13.5","44.3","41.3","56.4","0.3","0.9","0.1","1","6.2","36.1","640","4.9","5533","73","64000","4640","2.58","-1","-1","65.7","8.5","-1","-1","-1","-1","29853","-1","-1","-1","-1","-1","-1","-1","-1","-1","23.8","959.42"
"Tate County","MS","-2.3","28204","28886","5.9","24.2","15","51.7","66.7","31.3","0.3","0.3","0.1","1.3","2.5","64.7","1585","1.5","11165","74.5","112600","9936","2.73","-1","-1","79.9","15.4","-1","-1","-1","-1","41494","-1","-1","-1","-1","-1","-1","-1","-1","-1","71.4","237.22"
"Tippah County","MS","-0.9","22039","22232","6.2","24.6","15.8","50.8","81.3","16.7","0.4","0.2","0","1.4","4.8","77.1","1274","1.6","9717","76.5","74800","8472","2.56","-1","-1","75.8","10.3","-1","-1","-1","-1","34636","-1","-1","-1","-1","-1","-1","-1","-1","-1","48.6","1100.28"
"Tishomingo County","MS","-0.9","19420","19593","5.3","22","19.6","51.8","95.7","2.8","0.4","0.2","0","0.9","2.6","93.4","1546","2","10312","75.9","72900","7643","2.52","-1","-1","76.8","11.3","-1","-1","-1","-1","32592","-1","-1","-1","-1","-1","-1","-1","-1","-1","46.2","85.93"
"Tunica County","MS","-1.7","10598","10778","8.7","30.3","10.2","52.9","22.2","75.6","0.2","0.9","0.2","1","2.4","20.4","522","3.8","4824","43.6","74000","4116","2.53","-1","-1","76.8","15.4","-1","-1","-1","-1","31446","-1","-1","-1","-1","-1","-1","-1","-1","-1","23.7","1161.52"
"Union County","MS","3.5","28097","27134","6.7","25.2","15.7","51.2","82.8","15.1","0.3","0.3","0.1","1.4","4.6","78.8","1681","3.2","11789","72.8","85500","10322","2.62","-1","-1","76.1","14.8","-1","-1","-1","-1","38373","-1","-1","-1","-1","-1","-1","-1","-1","-1","65.3","613.14"
"Walthall County","MS","-3.8","14859","15443","5.7","24.6","17.7","51.9","54.2","43.8","0.4","0.2","0.1","1.3","1.8","52.9","701","0.6","7139","82.5","85100","5649","2.68","-1","-1","74.8","12.6","-1","-1","-1","-1","31090","-1","-1","-1","-1","-1","-1","-1","-1","-1","38.2","1279.26"
"Warren County","MS","-1.6","47983","48773","6.5","24.8","14.6","52.4","49.6","48.2","0.3","0.9","0","1","2","48.1","2786","1.6","21878","64.9","103600","18404","2.6","-1","-1","83.4","24.7","-1","-1","-1","-1","41025","-1","-1","-1","-1","-1","-1","-1","-1","-1","82.9","655.39"
"Washington County","MS","-4.3","48958","51137","7.4","26.5","13.6","53.2","27","71.4","0.2","0.7","0","0.6","1.3","26.3","2820","1.3","21621","54.8","73700","18123","2.75","-1","-1","75.5","18.7","-1","-1","-1","-1","28093","-1","-1","-1","-1","-1","-1","-1","-1","-1","70.6","570.7"
"Wayne County","MS","-1.2","20490","20747","6.4","24.8","15.7","51.9","59.2","39.4","0.3","0.2","0","0.9","1.5","58.1","1178","0.2","9213","83.3","68400","8105","2.52","-1","-1","72.7","10.2","-1","-1","-1","-1","29925","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.6","2643.17"
"Webster County","MS","-2.7","9972","10253","5.9","24.2","16.6","51","78.7","19.7","0.2","0.3","0","1.1","1.3","77.5","531","0.7","4805","73.6","70900","4084","2.45","-1","-1","81.3","19","-1","-1","-1","-1","33524","-1","-1","-1","-1","-1","-1","-1","-1","-1","24.4","248.74"
"Wilkinson County","MS","-7","9191","9878","6","21.7","15.5","46.6","28.9","70.2","0.2","0.2","0","0.5","0.7","28.6","386","0","5039","77.5","59400","3496","2.48","-1","-1","71.9","11.8","-1","-1","-1","-1","33618","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.6","426.8"
"Winston County","MS","-3.8","18478","19198","5.8","23.6","17.4","51","51.5","46.3","1.1","0.3","0","0.8","1.2","50.5","1102","0.5","8738","71.3","76300","7635","2.44","-1","-1","79.5","15.8","-1","-1","-1","-1","30821","-1","-1","-1","-1","-1","-1","-1","-1","-1","31.6","1065.6"
"Yalobusha County","MS","-3.2","12276","12678","6.4","22.7","18.3","51.8","59.8","38.5","0.3","0.3","0","1.1","1.7","58.5","929","0.2","6374","74.6","67800","4797","2.58","-1","-1","77.5","13.2","-1","-1","-1","-1","32930","-1","-1","-1","-1","-1","-1","-1","-1","-1","27.1","1850.01"
"Yazoo County","MS","-0.9","27817","28065","6.7","24.2","12.4","44.6","40.8","57.4","0.3","0.6","0","1","5.6","36.1","1658","4.3","10064","60","64100","8710","2.83","-1","-1","74.1","11.9","-1","-1","-1","-1","26336","-1","-1","-1","-1","-1","-1","-1","-1","-1","30.4","539.48"
"Beaverhead County","MT","1.1","9345","9246","4.5","18","19.8","48.9","95.1","0.4","1.9","0.5","0.3","1.8","3.7","91.9","979","1.4","5254","64.1","173400","4110","2.11","-1","-1","93.1","27.2","-1","-1","-1","-1","41614","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.7","589.41"
"Big Horn County","MT","3.2","13282","12865","10.3","33.5","11.4","50.8","31.9","0.4","64.4","0.5","0","2.8","5.6","29.6","630","1.2","4661","67.4","89300","3444","3.7","-1","-1","84.5","15.5","-1","-1","-1","-1","39966","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.6","257.46"
"Blaine County","MT","2","6619","6491","8.7","30.2","14.2","50.6","48.2","0.2","49","0.2","0","2.4","2.3","47.4","527","0.8","2814","65.4","76200","2237","2.86","-1","-1","87.4","15.9","-1","-1","-1","-1","37151","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.5","603.17"
"Broadwater County","MT","0.9","5667","5612","5","20.6","20.9","49.3","96.2","0.5","1.5","0.2","0.2","1.4","2.5","94","708","1.2","2697","80.7","174000","2421","2.32","-1","-1","89.4","19.4","-1","-1","-1","-1","45932","-1","-1","-1","-1","-1","-1","-1","-1","-1","4.7","424.3"
"Carbon County","MT","3.2","10399","10078","4.2","18.3","22.3","49.8","96.7","0.5","1.2","0.3","0.1","1.2","2.3","94.8","1179","1.9","6463","76.7","205900","4322","2.32","-1","-1","92.8","27.6","-1","-1","-1","-1","47831","-1","-1","-1","-1","-1","-1","-1","-1","-1","4.9","618.5"
"Carter County","MT","0.8","1169","1160","5.4","16.7","25.2","50","98","0.1","0.9","0.1","0","0.9","1.2","96.9","75","0.2","808","80.4","82400","495","2.46","-1","-1","92.8","16.4","-1","-1","-1","-1","39659","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.3","979.2"
"Cascade County","MT","1.3","82344","81327","6.7","22.6","16.9","49.6","88.9","1.7","4.6","1","0.1","3.6","4.1","85.9","10265","2.3","37565","65.6","157900","33430","2.37","-1","-1","90.8","24.6","-1","-1","-1","-1","44963","-1","-1","-1","-1","-1","-1","-1","-1","-1","30.1","1183.38"
"Chouteau County","MT","1.4","5894","5813","3.8","24.5","18.1","50.6","77","0.2","20.6","0.5","0.1","1.6","2.2","75.9","574","1.6","2858","62.3","114200","2228","2.53","-1","-1","91.1","22.9","-1","-1","-1","-1","40070","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.5","252.47"
"Custer County","MT","3.4","12092","11699","6.3","22.1","18.7","50","95","0.6","2","0.4","0.1","1.8","3","92.6","1178","2.1","5622","68.9","112100","4986","2.28","-1","-1","90.9","19.7","-1","-1","-1","-1","43524","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.1","1037.1"
"Daniels County","MT","2.4","1793","1751","5.6","21","25.2","49.7","95.3","0.3","2.1","0.3","0","2","2","93.6","178","2.4","1115","75.2","96800","890","1.96","-1","-1","94.4","22.9","-1","-1","-1","-1","46100","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.2","491.47"
"Dawson County","MT","6.2","9518","8966","6.5","22.3","16.8","48.6","94.9","0.5","2.1","0.4","0.1","2","2.7","92.8","825","1","4359","70.3","122200","3885","2.21","-1","-1","89.3","18.1","-1","-1","-1","-1","50405","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.8","430.13"
"Deer Lodge County","MT","-1.5","9150","9298","4","16.2","20.7","46.6","93","0.4","3.5","0.5","0.1","2.5","3.1","90.8","1227","1.6","5121","72.7","117800","3855","2.17","-1","-1","89.1","18.1","-1","-1","-1","-1","38958","-1","-1","-1","-1","-1","-1","-1","-1","-1","12.6","1139.43"
"Fallon County","MT","7.5","3108","2890","7.8","25.9","15.7","48.7","97.1","0.2","0.7","0.6","0.1","1.3","1.7","95.6","220","0.9","1529","72","106700","1199","2.53","-1","-1","92.7","16.1","-1","-1","-1","-1","51164","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.8","562.86"
"Fergus County","MT","-1.2","11442","11586","5.1","20.4","23","49.7","95.9","0.5","1.4","0.3","0","1.9","2.4","93.9","1233","1.4","5809","74.4","113800","4924","2.24","-1","-1","92.3","25.5","-1","-1","-1","-1","38344","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.7","898.27"
"Flathead County","MT","4.4","94924","90928","5.8","22.5","17.2","50.2","95.2","0.4","1.4","0.7","0.1","2.2","2.7","93","8688","2","47362","71","228100","36901","2.45","-1","-1","93.8","28.4","-1","-1","-1","-1","46581","-1","-1","-1","-1","-1","-1","-1","-1","-1","17.9","858.98"
"Gallatin County","MT","8.7","97308","89513","5.8","20.5","11.2","48.6","95.1","0.4","1","1.4","0.1","1.9","3.1","92.4","5744","2.7","44870","61.8","261900","36973","2.36","-1","-1","96.1","46","-1","-1","-1","-1","52833","-1","-1","-1","-1","-1","-1","-1","-1","-1","34.4","978.09"
"Garfield County","MT","8.3","1309","1206","5.7","22.9","22.6","50.1","98.7","0.3","0.4","0.1","0","0.5","1.2","97.5","97","0.2","848","76.3","113300","465","2.44","-1","-1","91.7","13","-1","-1","-1","-1","45096","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.3","305.42"
"Glacier County","MT","2.2","13696","13399","9.3","31.3","10.9","51.1","33.6","0.2","62.6","0.4","0","3.2","2.7","32.5","934","2.1","5327","59.5","80200","4194","3.1","-1","-1","83.5","18.4","-1","-1","-1","-1","33519","-1","-1","-1","-1","-1","-1","-1","-1","-1","4.5","2391.91"
"Golden Valley County","MT","-3.6","852","884","4.7","20.2","24.5","48.7","94.5","0.7","1.2","0.7","0","2.9","4.1","91.2","70","0.3","479","79.3","89300","323","2.12","-1","-1","88.6","20.3","-1","-1","-1","-1","39313","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.8","625.49"
"Granite County","MT","4.2","3209","3079","3.6","16.2","28.9","49.5","96.5","0.4","0.7","0.3","0","2.1","2.1","94.6","402","1.9","2789","76.1","200500","1473","2.07","-1","-1","88.2","26.5","-1","-1","-1","-1","45236","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.8","555.07"
"Hill County","MT","3.1","16596","16096","8.5","27","14.1","49.6","72.7","0.6","22.7","0.6","0.1","3.4","3.3","70.9","1353","1.6","7217","67.8","122600","6139","2.58","-1","-1","91.6","22.6","-1","-1","-1","-1","43726","-1","-1","-1","-1","-1","-1","-1","-1","-1","5.6","421.36"
"Jefferson County","MT","1.3","11558","11406","4.2","21","18.7","49","94.8","0.4","1.7","0.5","0","2.5","2.3","92.9","1397","1.5","5041","85.9","230100","4527","2.46","-1","-1","94.3","33.5","-1","-1","-1","-1","60863","-1","-1","-1","-1","-1","-1","-1","-1","-1","6.9","1325.36"
"Judith Basin County","MT","-3.9","1991","2072","3.7","18.8","22.5","47.9","97.9","0.1","1","0.3","0","0.8","1.7","96.3","242","0.8","1334","75.4","106800","879","2.32","-1","-1","93.4","29.7","-1","-1","-1","-1","41932","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.1","608.18"
"Lake County","MT","1.2","29099","28746","6.4","24.2","19.7","50.8","68.2","0.4","23.6","0.5","0.1","7.2","4.1","66.2","2885","1.8","16602","69.1","218600","11829","2.38","-1","-1","90.2","24.8","-1","-1","-1","-1","38019","-1","-1","-1","-1","-1","-1","-1","-1","-1","19.3","430.1"
"Lewis and Clark County","MT","3.9","65856","63395","5.9","21.8","16.2","50.8","94.1","0.5","2.2","0.7","0.1","2.4","3","91.6","6310","1.5","30594","72.3","203600","26555","2.35","-1","-1","94.7","37.5","-1","-1","-1","-1","56243","-1","-1","-1","-1","-1","-1","-1","-1","-1","18.3","195.12"
"Liberty County","MT","0.9","2359","2339","5.7","21.2","19.8","52.4","98.1","0.3","0.3","0.1","0","1.1","0.7","97.5","143","4","1033","62.2","102800","847","2.53","-1","-1","75.5","20.6","-1","-1","-1","-1","44493","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.6","314.44"
"Lincoln County","MT","-2.9","19125","19687","4.7","18.4","24.8","49.5","95.7","0.4","1.2","0.4","0.1","2.4","2.8","93.3","2506","2.3","11477","78.4","158200","8872","2.18","-1","-1","86.8","18.3","-1","-1","-1","-1","33333","-1","-1","-1","-1","-1","-1","-1","-1","-1","5.4","902.03"
"Madison County","MT","1.7","7820","7691","3.8","15.7","26.3","47.5","96.8","0.5","0.6","0.4","0","1.7","2.9","94.3","798","2.3","6916","76.1","239600","3542","2.1","-1","-1","94.8","32.7","-1","-1","-1","-1","47762","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.1","3506.34"
"McCone County","MT","-2.3","1694","1734","3.4","19.9","22.5","49","97","0.6","0.8","0.2","0.1","1.3","1.4","95.9","181","0.1","1007","77.2","101600","760","2.34","-1","-1","94.4","18.6","-1","-1","-1","-1","46667","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.7","203.59"
"Meagher County","MT","-2","1853","1891","5.8","18.7","26.2","49.1","96.9","0.3","0.6","0.5","0","1.6","1.8","95.4","220","1.5","1426","71.9","115700","716","2.62","-1","-1","89.8","17.4","-1","-1","-1","-1","38182","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.8","1044.08"
"Mineral County","MT","0.8","4257","4223","4.7","18.3","26.6","47.3","93.7","0.5","1.9","0.8","0","3.1","2.8","91.3","639","0.7","2447","70.9","167300","1629","2.53","-1","-1","89.2","12.1","-1","-1","-1","-1","33033","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.5","357.61"
"Missoula County","MT","3.1","112684","109299","5.4","19.4","13.6","49.7","92.1","0.6","2.9","1.5","0.1","2.7","3.1","89.7","8903","2.8","51411","58.8","237500","45523","2.36","-1","-1","94.5","39.1","-1","-1","-1","-1","46117","-1","-1","-1","-1","-1","-1","-1","-1","-1","42.1","1934.97"
"Musselshell County","MT","1.1","4589","4538","4.8","19.8","21.3","49.8","95.6","0.6","1.5","0.3","0","2","3.4","92.9","661","1.8","2657","78.5","106100","1966","2.36","-1","-1","89.3","13.6","-1","-1","-1","-1","43409","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.4","561.2"
"Park County","MT","1.6","15880","15636","4.7","19.1","19.5","49.8","96.1","0.3","1.2","0.4","0.1","1.9","2.8","93.7","1386","2.4","9368","75.1","204500","6445","2.39","-1","-1","93.2","33.6","-1","-1","-1","-1","42426","-1","-1","-1","-1","-1","-1","-1","-1","-1","5.6","248.8"
"Petroleum County","MT","-1.8","485","494","2.3","21.9","21","45.4","98.4","0","0.6","0","0","1","1.2","97.1","70","0.4","327","76","83200","233","2.31","-1","-1","96","15.4","-1","-1","-1","-1","41705","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.3","453.84"
"Phillips County","MT","-1.4","4192","4253","6.1","22.6","20.5","50.3","87.2","0.1","8.4","0.3","0","4.1","2.1","85.5","385","1.2","2319","76.4","86600","1800","2.28","-1","-1","91.8","15.9","-1","-1","-1","-1","42632","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.8","462.45"
"Pondera County","MT","1.1","6219","6153","6.6","24.5","19.6","51.3","82.3","0.3","14.5","0.3","0","2.5","1.8","81.4","477","3.1","2641","69.1","99000","2302","2.52","-1","-1","87","20.5","-1","-1","-1","-1","41277","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.8","672.58"
"Powder River County","MT","2.3","1783","1743","2.7","17.4","23.6","49.4","95.9","0.1","1.9","0.2","0","2","2","94.2","136","0","1013","69.9","105200","720","2.26","-1","-1","93.1","19.9","-1","-1","-1","-1","46250","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.5","501.22"
"Powell County","MT","-1.7","6909","7027","4.2","15.6","18.5","38.1","92.3","1.1","4.6","0.5","0","1.3","2.3","90.4","907","0.4","3097","71.5","120900","2411","2.31","-1","-1","90.3","17.8","-1","-1","-1","-1","40802","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","484.88"
"Prairie County","MT","-2.6","1148","1179","6.5","18.3","30","49.2","94.8","0.3","0.4","0.9","0","3.7","2.1","92.7","162","1.7","669","86.9","69800","502","2.31","-1","-1","86.8","16.9","-1","-1","-1","-1","38036","-1","-1","-1","-1","-1","-1","-1","-1","-1","0.7","3328.97"
"Ravalli County","MT","2","41030","40212","4.8","20.3","23.1","50.3","95.7","0.5","1.1","0.7","0.1","1.9","3.3","92.9","4460","2.1","19553","72.9","233700","16848","2.37","-1","-1","92.1","24.5","-1","-1","-1","-1","38688","-1","-1","-1","-1","-1","-1","-1","-1","-1","16.8","289.65"
"Richland County","MT","18.8","11576","9746","7.2","24.7","13","47.7","94.6","0.5","1.9","0.5","0.1","2.5","4.8","90.3","759","1.5","5010","69.1","153000","4270","2.4","-1","-1","90.2","17.7","-1","-1","-1","-1","58112","-1","-1","-1","-1","-1","-1","-1","-1","-1","4.7","373.84"
"Roosevelt County","MT","8.7","11332","10425","9.7","32","10.5","49.7","38.1","0.3","58","0.4","0","3.3","2.5","37.3","504","0.8","4080","58.9","70100","3264","3.21","-1","-1","83.9","13.7","-1","-1","-1","-1","36920","-1","-1","-1","-1","-1","-1","-1","-1","-1","4.4","575.66"
"Rosebud County","MT","1","9326","9233","8.7","29.2","13.6","49.6","59.7","0.3","36.3","0.5","0","3.1","4.1","58","786","1.4","4107","68.5","110900","3268","2.82","-1","-1","89.1","22.3","-1","-1","-1","-1","48789","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.8","406.58"
"Sanders County","MT","-0.4","11364","11413","4.5","18.2","26","48.9","91.8","0.3","4.5","0.5","0.1","2.8","2.5","90","1537","2.1","6660","76.6","166500","5149","2.17","-1","-1","87.2","16.7","-1","-1","-1","-1","32881","-1","-1","-1","-1","-1","-1","-1","-1","-1","4.1","369.3"
"Sheridan County","MT","9.2","3696","3384","5.4","20.9","20.8","49.1","95","0.4","2","0.4","0","2.2","2.2","93.3","299","1.3","2137","74.4","109500","1612","2.09","-1","-1","90.7","23.4","-1","-1","-1","-1","48667","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","817.82"
"Silver Bow County","MT","1.4","34680","34200","5.8","20.5","17.3","49.3","94.4","0.5","2.1","0.7","0.1","2.2","4.2","91.1","3172","1.9","16811","65.5","121900","15042","2.21","-1","-1","90.9","22.2","-1","-1","-1","-1","38659","-1","-1","-1","-1","-1","-1","-1","-1","-1","47.6","130.31"
"Stillwater County","MT","1.9","9290","9117","4.6","21.6","20.1","49","96.3","0.3","1","0.4","0","1.9","3.3","93.6","1144","1","4812","79.9","185900","3757","2.4","-1","-1","92.5","22.1","-1","-1","-1","-1","57906","-1","-1","-1","-1","-1","-1","-1","-1","-1","5.1","516.25"
"Sweet Grass County","MT","0.4","3665","3651","4.3","22.2","23.5","50.5","96.8","0.1","0.7","0.5","0","1.9","2","95.1","304","1.5","2129","73","192700","1304","2.73","-1","-1","91.7","27.1","-1","-1","-1","-1","45938","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","900.3"
"Teton County","MT","-0.1","6064","6073","6.1","23","22","50.9","96","0.1","1.6","0.2","0","2.2","1.4","94.7","607","1.6","2882","75.9","134700","2303","2.52","-1","-1","90.4","24.5","-1","-1","-1","-1","43327","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.7","411.03"
